"","type","cov.M","cov.X","cov.F","cov.M_B","cov.X_B","cov.F_B","cov.M_C","cov.X_C","cov.F_C","cov.M_Z","cov.X_Z","cov.F_Z"
"M","raw",8.31046254035073e-08,-2.20998237973613e-08,-1.34679427332696e-08,6.75483895207218e-09,-6.60042506761549e-10,1.70457741671681e-09,0.0271194843501489,0.0114002381746897,0.0189226652116475,3.70309215617926e-08,1.06065524696497e-08,3.66718137974342e-08
"X","raw",-2.20998237904224e-08,3.44121199313818e-08,-4.58962300109444e-09,-2.54301217236796e-10,2.98598298170694e-09,-3.212125149199e-10,0.0045260186677493,0.00561803717027048,0.00622703796869142,1.42327976088846e-08,4.20987256860572e-09,1.42182323362855e-08
"F","raw",-1.34679427471474e-08,-4.58962299415555e-09,8.62294459724744e-08,-2.11923190801544e-10,-4.52719542409774e-10,6.7398361371096e-09,0.0159497831081341,0.0094273084831572,0.0225923640278025,3.82069350844672e-08,1.09753406900975e-08,3.71858875670983e-08
"M_B","raw",6.75483895207218e-09,-2.54301217236796e-10,-2.11923190801544e-10,4.66560954315298e-08,1.26523641702514e-08,3.71381454755682e-08,5.98165996595901e-09,2.28516392267175e-09,5.53973045561151e-09,0.0267175984838045,0.00479897903355453,0.0155735006713842
"X_B","raw",-6.60042508496272e-10,2.98598298170694e-09,-4.52719542409774e-10,1.26523641633125e-08,-1.97049780104042e-08,1.53783197912039e-08,3.21837827221838e-10,-1.6521715644896e-09,1.25117620604354e-09,0.0114285206951537,0.00575038812789339,0.00945320495895645
"F_B","raw",1.70457742365571e-09,-3.212125149199e-10,6.7398361371096e-09,3.71381454894459e-08,1.53783197912039e-08,5.25394777961541e-08,5.44337255825589e-09,2.42336332251236e-09,6.54565193020096e-09,0.0185230860457114,0.00646890614639216,0.0222183544383655
"M_C","raw",0.0271194843501489,0.0045260186677493,0.0159497831081341,5.98165996248956e-09,3.21837830691285e-10,5.44337255131699e-09,1.350657721777e-08,7.98873395907451e-09,1.19303288526051e-07,0.0240958989526641,0.0225581391690747,0.0245765028883783
"X_C","raw",0.0114002381746897,0.00561803717027048,0.0094273084831572,2.28516392093703e-09,-1.6521715644896e-09,2.42336332251236e-09,7.98873395907451e-09,-1.05125257388039e-08,-4.58463505353945e-09,0.00917204778810239,0.0136862310083897,0.0131964219804039
"F_C","raw",0.0189226652116475,0.00622703796869142,0.0225923640278025,5.53973045561151e-09,1.25117620604354e-09,6.54565193020096e-09,1.19303288539929e-07,-4.58463505353945e-09,2.22972825203449e-08,0.0263487297458056,0.00463659250166251,0.018180504158302
"M_Z","raw",3.70309215617926e-08,1.42327976088846e-08,3.82069350844672e-08,0.0267175984838045,0.0114285206951537,0.0185230860457114,0.0240958989526641,0.00917204778810239,0.0263487297458056,2.85992922066658e-07,8.09201259194259e-08,2.83586280042103e-07
"X_Z","raw",1.06065524696497e-08,4.20987256860572e-09,1.09753406900975e-08,0.00479897903355453,0.00575038812789339,0.00646890614639216,0.0225581391690747,0.0136862310083897,0.00463659250166251,8.09201259194259e-08,2.46704124073904e-08,8.15057521405538e-08
"F_Z","raw",3.66718137974342e-08,1.42182323362855e-08,3.71858875670983e-08,0.0155735006713842,0.00945320495895645,0.0222183544383655,0.0245765028883783,0.0131964219804039,0.018180504158302,2.83586280042103e-07,8.15057521405538e-08,2.72453274080542e-07
