"","type","cov.M","cov.X","cov.F","cov.Inactive","cov.Education","cov.Work","cov.Gym","cov.Social","cov.M_Z","cov.X_Z","cov.F_Z"
"M","raw",0.00089239936544519,0.00120846075259063,0.00142056278015086,1.71657561992902e-09,-6.93574087103229e-09,3.26436848385736e-09,2.17281108730316e-09,1.92389590248504e-08,0.0049122851520268,0.0081724079637419,0.005381526399462
"X","raw",0.00120846075259064,0.000393674603776623,0.000832444308116111,2.36926593361747e-09,1.18219512955028e-09,3.0014371890652e-10,1.34983232013761e-09,6.87967675883083e-09,0.00524294420257376,0.0021967949947907,0.00286605068778131
"F","raw",0.00142056278015086,0.000832444308116118,0.000461687363112306,3.95514633370897e-09,-3.67135364904431e-09,1.67596601874376e-09,-2.5069315165438e-09,8.20260753937874e-09,0.0103864533445033,0.00645454984091927,0.00260353607650953
"Inactive","raw",1.71657561992902e-09,2.36926593361747e-09,3.95514633370897e-09,3.1281735202171e-08,-1.34303931864643e-09,-1.95433264432721e-08,-1.64015037662502e-09,-1.64059433746533e-08,-6.04277937063524e-09,5.00655754093887e-09,1.03282535917834e-08
"Education","raw",-6.93574087103229e-09,1.18219512955028e-09,-3.67135364904431e-09,-1.34303931864643e-09,-1.94924183738454e-09,3.49092282858621e-13,-3.01387650773755e-09,6.20435300878464e-09,1.0456322024812e-08,2.17324528598711e-09,1.81449248486641e-09
"Work","raw",3.26436848385736e-09,3.0014371890652e-10,1.67596601874376e-09,-1.95433264432721e-08,3.49092282858621e-13,-4.79233336347917e-09,2.70419538983546e-08,3.67681145599374e-09,1.00351022994799e-08,-1.32882102283488e-08,1.2422363016712e-08
"Gym","raw",2.17281108730316e-09,1.34983232013761e-09,-2.5069315165438e-09,-1.64015037662502e-09,-3.01387650773755e-09,2.70419538983546e-08,-1.16469495992089e-08,9.44977113746803e-09,-1.18835837940867e-08,-1.59401178185734e-08,-2.27494186006566e-08
"Social","raw",1.92389590248504e-08,6.87967675883083e-09,8.20260753937874e-09,-1.64059433746533e-08,6.20435300878464e-09,3.67681145599374e-09,9.44977113746803e-09,9.27205696943378e-09,-2.69884191080386e-09,4.35380453477768e-09,-2.0808663880531e-09
"M_Z","raw",0.0049122851520268,0.00524294420257376,0.0103864533445033,-6.04277937063524e-09,1.0456322024812e-08,1.00351022994799e-08,-1.18835837940867e-08,-2.69884191080386e-09,-4.14377722135484e-08,4.1725338045806e-09,-2.36290356031565e-08
"X_Z","raw",0.0081724079637419,0.0021967949947907,0.00645454984091927,5.00655754093887e-09,2.17324528598711e-09,-1.32882102283488e-08,-1.59401178185734e-08,4.35380453477768e-09,4.1725338045806e-09,2.29177046784379e-09,1.88912912327255e-08
"F_Z","raw",0.005381526399462,0.00286605068778131,0.00260353607650953,1.03282535917834e-08,1.81449248486641e-09,1.2422363016712e-08,-2.27494186006566e-08,-2.0808663880531e-09,-2.36290356031565e-08,1.88912912327255e-08,1.37192211480119e-08
