"","type","cov.M_Atr","cov.X_Atr","cov.F_Atr","cov.M_Rom","cov.X_Rom","cov.F_Rom","cov.M_Ero","cov.X_Ero","cov.F_Ero","cov.Inactive","cov.Education","cov.Work","cov.Gym","cov.Social","mean","th"
"M_Atr","raw",0,-0.0161938748073466,-0.00152626229492148,0.103661279575067,-0.0415446948685849,0.0182538400629203,0.0523224434958333,-0.0219087957143059,0.00526854324993072,0.0405367620007966,-0.0879071274184326,-0.0451937229629645,0.0235467610293388,0.0321118321139897,0,0
"X_Atr","raw",-0.0161938748073466,0,0.0265855461200509,0.018201232792088,0.00642003457623853,-0.0404532122019471,-0.0856928726328215,-0.111449148204886,-0.0832451939941316,0.00400949384111152,0.0292291524388216,0.0320580499028575,-0.152631004718288,0.159275780294435,0,0
"F_Atr","raw",-0.00152626229492148,0.0265855461200509,0,-0.0161958086358011,-0.0272794374183406,-0.0746275053340687,-0.0147324873330344,0.00168931716182941,0.108834404342883,-0.045282589774396,0.079669560158692,0.0345471581276764,0.042685279437505,-0.14460728929145,0,0
"M_Rom","raw",0.103661279575067,0.018201232792088,-0.0161958086358011,0,-0.0045625371921052,-0.00906207721890151,0.0259994043680664,-0.0464070000516965,0.0614641783787656,0.0157409470313782,0.0167378756562308,-0.0223749395935686,-0.00262265369698698,0.0410862526553311,0,0
"X_Rom","raw",-0.0415446948685848,0.00642003457623853,-0.0272794374183406,-0.0045625371921052,0,0.0131575721534017,-0.0413050787239472,-0.0245359262070313,-0.0371375535122838,-0.054425623102577,0.0360400328287168,0.0302170510554684,-0.0339384562285128,0.0203893944007744,0,0
"F_Rom","raw",0.0182538400629203,-0.0404532122019471,-0.0746275053340687,-0.00906207721890151,0.0131575721534017,0,-0.00932833846156259,-0.00780234895655951,0.0565363190510521,0.0246277014227769,-0.0473411245861583,0.000864461242752454,0.0282938238475781,-0.0605322560212802,0,0
"M_Ero","raw",0.0523224434958334,-0.0856928726328215,-0.0147324873330344,0.0259994043680664,-0.0413050787239472,-0.00932833846156256,0,0.0347888190184793,-0.0464704794145382,0.00221660753677067,0.088795774207156,-0.0244093132591365,-0.0139824888597338,0.0405502089079883,0,0
"X_Ero","raw",-0.0219087957143059,-0.111449148204886,0.00168931716182938,-0.0464070000516965,-0.0245359262070313,-0.00780234895655954,0.0347888190184793,0,-0.0157160639584792,-0.0666480235635677,0.0170351885088307,0.0452248472933011,-0.00626456857802461,0.0436397825783149,0,0
"F_Ero","raw",0.00526854324993072,-0.0832451939941316,0.108834404342883,0.0614641783787656,-0.0371375535122838,0.0565363190510522,-0.0464704794145382,-0.0157160639584792,0,0.0668423469791767,-0.0976716240575847,-0.0211106225592611,0.021928195209107,-0.0801969323835899,0,0
"Inactive","raw",0.0405367620007966,0.00400949384111152,-0.045282589774396,0.0157409470313782,-0.054425623102577,0.0246277014227769,0.00221660753677067,-0.0666480235635677,0.0668423469791767,0,-5.55199237350923e-06,1.8099151266604e-07,-3.03001354629018e-06,-2.4575825247064e-06,0,0
"Education","raw",-0.0879071274184326,0.0292291524388216,0.079669560158692,0.0167378756562308,0.0360400328287168,-0.0473411245861583,0.088795774207156,0.0170351885088307,-0.0976716240575847,-5.55199237350923e-06,0,1.15731993510781e-06,3.83010179286214e-06,-6.75652347126299e-07,0,0
"Work","raw",-0.0451937229629645,0.0320580499028575,0.0345471581276764,-0.0223749395935686,0.0302170510554684,0.000864461242752454,-0.0244093132591365,0.0452248472933011,-0.0211106225592611,1.8099151266604e-07,1.15731993510781e-06,0,5.33463736962503e-07,-1.87943048152173e-06,0,0
"Gym","raw",0.0235467610293388,-0.152631004718288,0.042685279437505,-0.00262265369698698,-0.0339384562285128,0.0282938238475781,-0.0139824888597338,-0.00626456857802461,0.021928195209107,-3.03001354629018e-06,3.83010179286214e-06,5.33463736962503e-07,0,-1.67367758707737e-06,0,0
"Social","raw",0.0321118321139897,0.159275780294435,-0.14460728929145,0.0410862526553311,0.0203893944007744,-0.0605322560212802,0.0405502089079883,0.0436397825783149,-0.0801969323835899,-2.4575825247064e-06,-6.75652347126299e-07,-1.87943048152173e-06,-1.67367758707737e-06,0,0,0
