"","x"
"AtrZ=~M_Atr_Z",0.927551553750921
"AtrZ=~X_Atr_Z",0.457713177374084
"AtrZ=~F_Atr_Z",0.789667823138143
"RomZ=~M_Rom_Z",0.856220192761362
"RomZ=~X_Rom_Z",0.869330724770526
"RomZ=~F_Rom_Z",0.898071123989666
"EroZ=~M_Ero_Z",0.829509304807666
"EroZ=~X_Ero_Z",0.857195738391803
"EroZ=~F_Ero_Z",0.702289029252766
"Atr0=~M_Atr",0.780183117224275
"Atr0=~X_Atr",0.409477091182713
"Atr0=~F_Atr",0.69486361701417
"Rom0=~M_Rom",0.793176083699084
"Rom0=~X_Rom",0.780676029181078
"Rom0=~F_Rom",0.834879502606548
"Ero0=~M_Ero",0.663766971936969
"Ero0=~X_Ero",0.691534315126607
"Ero0=~F_Ero",0.599623530014296
"Atr0~Inactive",-0.267767778584163
"Atr0~Education",-0.0518260627804436
"Atr0~Work",-0.245783510809196
"Atr0~Gym",0.0665193105438467
"Atr0~Social",0.45090041520826
"Rom0~Inactive",0.0420317809464136
"Rom0~Education",-0.129443161465624
"Rom0~Work",-0.156094620108598
"Rom0~Gym",0.0344522671935571
"Rom0~Social",0.163165751566538
"Ero0~Inactive",0.362469207076184
"Ero0~Education",-0.250350771614297
"Ero0~Work",0.147822579020188
"Ero0~Gym",0.132404936743321
"Ero0~Social",-0.352925138410816
"Atr0~AtrZ",0.138858687185575
"Rom0~AtrZ",-0.102967506913123
"Rom0~RomZ",0.30003274980093
"Ero0~AtrZ",-0.0625925296372238
"Ero0~RomZ",0.0798552225567519
"Ero0~EroZ",0.0895601963077839
"Rom0~Atr0",0.187934455259079
"Ero0~Atr0",0.362212898603583
"Ero0~Rom0",0.132353523247476
"M_Atr_Z~~M_Atr",-0.0136268490791778
"X_Atr_Z~~X_Atr",0.107521837047072
"F_Atr_Z~~F_Atr",0.0588524730354186
"M_Rom_Z~~M_Rom",0.0774497701147518
"X_Rom_Z~~X_Rom",-0.0423793677840961
"F_Rom_Z~~F_Rom",0.130268356308101
"M_Ero_Z~~M_Ero",0.049850084444764
"X_Ero_Z~~X_Ero",0.111544529250414
"F_Ero_Z~~F_Ero",0.0245436291967496
"Inactive~~Education",-0.586054114309225
"Inactive~~Gym",-0.800075862730552
"Inactive~~Work",-0.875693869729374
"Inactive~~Social",-0.639625040166629
"Education~~Gym",-0.218762843608707
"Education~~Work",-0.428101696553713
"Education~~Social",0.279538367442921
"Work~~Gym",-0.531294570278652
"Gym~~Social",-0.340594382333163
"Work~~Social",0.250526074046755
"AtrZ~~Inactive",-0.0322573083367577
"AtrZ~~Education",-0.0537322687374249
"AtrZ~~Gym",0.149954199379165
"AtrZ~~Work",-0.072242554644716
"AtrZ~~Social",0.0322835445470393
"RomZ~~Inactive",0.00381488021235976
"RomZ~~Education",0.143844336780378
"RomZ~~Gym",0.10520201702309
"RomZ~~Work",-0.169007580625957
"RomZ~~Social",-0.0285680778399741
"EroZ~~Inactive",-0.11256753733907
"EroZ~~Education",0.0102213641236905
"EroZ~~Gym",0.0628602249707579
"EroZ~~Work",-0.072629140276853
"EroZ~~Social",0.186918534494354
"AtrZ~~RomZ",0.224729186548039
"AtrZ~~EroZ",0.128111741063746
"RomZ~~EroZ",0.197528728517631
